OBJECTID,Boro,Type,Provider,Name,Location,Lat,Long_,X,Y,Location_T,Remarks,City,SSID,SourceID
1059,BX,Limited Free,Cablevision,BRONX PARK E,BRONX PARK E-BRONX PARK 3/P/N/O BURKE AV,40.873040000000003,-73.871276000500004,1019850.04066000005696,257375.909509999997681,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1060,BX,Limited Free,Cablevision,GUN HILL PARK,Gun Hill Playground/Park Cruger Av 1/P/S/O Magenta St,40.874549999599999,-73.865540000500005,1021435.548979999963194,257928.444495000003371,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1061,BX,Limited Free,Cablevision,GUN HILL PARK,Gun Hill Playground/Park  HOLLAND AV 1 P/S/O MAGENTA AV,40.874778999699998,-73.865005000400004,1021583.377089999965392,258012.105745000008028,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1062,BX,Limited Free,Cablevision,Kilmer Park,Kilmer Park-Top center,40.828467999600001,-73.922699999900004,1005642.5021499999566,241119.915448000014294,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1063,BX,Limited Free,Cablevision,Kilmer Park,Kilmer Park-Left center,40.828057000400001,-73.923074999899995,1005538.853740000049584,240970.08208600000944,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1064,BX,Limited Free,Cablevision,Kilmer Park,Kilmer Park-right center,40.827830999900002,-73.922677000500002,1005649.072019999963231,240887.838812000001781,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1065,BX,Limited Free,Cablevision,Kilmer Park,Kilmer Park-bottom right of fountain,40.827440999700002,-73.923007999600003,1005557.59320000000298,240745.666851999994833,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1066,BX,Limited Free,Cablevision,Kilmer Park,Kilmer Park-bottom left  of fountain,40.827562999800001,-73.923630999500006,1005385.138819999992847,240789.964991999993799,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1067,BX,Limited Free,Cablevision,OWEN F. DOLEN PK,OWEN DOLEN- BA ON WEST SIDE OF BLDG,40.840657000199997,-73.842668000200007,1027783.081559999962337,245590.47540399999707,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1068,BX,Limited Free,Cablevision,OWEN F. DOLEN PK,OWEN DOLEN- BA ON EAST SIDE OF BLDG,40.840657000199997,-73.842668000200007,1027783.081559999962337,245590.47540399999707,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1069,BX,Limited Free,Cablevision,OWEN F. DOLEN PK,OWEN DOLEN- LOBBY REC ROOM CEILING MOUNT,40.8406719997,-73.842601999500005,1027801.33382000005804,245595.973097000009147,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1070,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park C/O MIDDLETOWN RD /MCDONOUGH PL,40.846051999899998,-73.824949999400005,1032681.641309999977238,247565.373684999998659,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
16,SI,Free,AT&T,Clove Lakes Park,Near Baseball Field,40.618200000000002,-74.107199999399995,954489.031623000046238,164521.523041000007652,Outdoor,,Staten Island,attwifi,
1071,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park  MIDDLETOWN RD 1/P/W/O DWIGHT PL,40.846313999899998,-73.824472000100002,1032813.699449999956414,247661.094622000004165,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1072,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park  C/O MIDDLETOWN RD /DWIGHT PL,40.846606000400001,-73.823951999900004,1032957.354999999981374,247767.769934000010835,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1073,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park  C/O MIDDLETOWN RD /ROBERTSON PL,40.847100000200001,-73.822991999999999,1033222.594960000016727,247948.287618000002112,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1074,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park MIDDLETOWN RD 1/P/W/O KENNELLWORTH PL,40.847596000099998,-73.822230000000005,1033433.049589999951422,248129.425706999987597,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1075,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park C/O MIDDLETOWN RD  /OHM AV,40.848158999699997,-73.821071000399996,1033753.286809999961406,248335.200229999987641,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1076,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park  MIDDLETOWN RD   1/P/W/O STADIUM AV,40.848322000400003,-73.820749999699999,1033841.974619999993593,248394.769008000002941,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1077,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park -IN PARK POLE 4/P/N/O  STADIUM AV,40.849232999599998,-73.821049999500005,1033758.297619999968447,248726.51014299999224,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1078,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park -IN PARK POLE 4/P/N/O  STADIUM AV,40.849195999700001,-73.821055000300007,1033756.941660000011325,248713.026902000012342,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1079,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park -IN PARK POLE 6/P/N/O  STADIUM AV,40.8502079999,-73.8217519998,1033563.359689999953844,249081.343094000010751,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1080,BX,Limited Free,Cablevision,PELHAM BAY,Pelham Bay Park -IN PARK POLE 6/P/N/O  STADIUM AV,40.850231999800002,-73.821777000500006,1033556.425329999998212,249090.073063999996521,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
50,MN,Free,AT&T,Battery Park,"Kiosk near center of Park, Near Battery Garden",40.701600000299997,-74.015299999500002,980007.70532299997285,194888.637175000010757,Outdoor,,New York,attwifi,
1081,BX,Limited Free,Cablevision,Poe Park,Poe Park-right side of bandshell,40.864437000199999,-73.894553000000002,1013416.306480000028387,254232.897096000000602,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1082,BX,Limited Free,Cablevision,Poe Park,Poe Park-left side of bandshell,40.864458000399999,-73.895114999599997,1013260.850100000039674,254240.361647999990964,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1083,BX,Limited Free,Cablevision,Poe Park,Poe Park-Playground area,40.864781000100002,-73.894626000599999,1013395.964009999996051,254358.205244000011589,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1084,BX,Limited Free,Cablevision,Poe Park,Poe Park-North area facing Poe cottage,40.865167000100001,-73.894227000499995,1013506.15570999996271,254498.973006999993231,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1085,BX,Limited Free,Cablevision,RANAQUA PARK,RANAQUA PARK-BIRCHAll AV INDOOR LOBBY,40.844590000399997,-73.859800000000007,1023040.442419999977574,247015.362645999994129,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1086,BX,Limited Free,Cablevision,RANAQUA PARK,RANAQUA PARK-BIRCHAll AV 6/P/E/O SAGAMORE ST,40.844590000399997,-73.859800000000007,1023040.442419999977574,247015.362645999994129,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1087,BX,Limited Free,Cablevision,SETON FALLS,SETON FALLS PARK- SETON AV 5/P/S/O E 233RD ST,40.887637000200002,-73.835951000199998,1029609.588729999959469,262710.496938000025693,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1088,BX,Limited Free,Cablevision,SETON FALLS,SETON FALLS PARK-C/O  E 233RD ST  & WILDER AV,40.888782999900002,-73.840132999800005,1028452.504100000020117,263125.892432999971788,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1089,BX,Limited Free,Cablevision,SETON FALLS,SETON FALLS PARK-C/O EDEN TERR/CRAWFORD AV,40.885284000299997,-73.838521000399993,1028900.564230000018142,261851.885138000012375,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
1090,BX,Limited Free,Cablevision,SETON FALLS,SETON FALLS PARK- PRATT AV 2/P/S/O SETON AV,40.886621999799999,-73.834970000599995,1029881.531760000041686,262341.201416999974754,Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,
